Date,Open,High,Low,Close,Volume,Adj Close
2015-10-01,14.44,14.44,13.3,14.01,411100,14.01
2015-10-02,13.84,15.0,13.46,14.61,393300,14.61
2015-10-05,14.9,15.74,14.09,15.1,294500,15.1
2015-10-06,14.87,15.63,13.31,14.13,335800,14.13
2015-10-07,14.08,15.495,13.57,15.0,292600,15.0
2015-10-08,14.83,14.83,13.8,14.58,275500,14.58
2015-10-09,14.81,15.114,14.19,14.4,231000,14.4
2015-10-12,14.54,14.63,13.85,14.19,154200,14.19
2015-10-13,14.19,14.77,13.49,13.53,154600,13.53
2015-10-14,13.52,14.03,13.17,13.39,225900,13.39
2015-10-15,13.38,14.65,13.38,14.63,235100,14.63
2015-10-16,14.69,15.42,14.0,14.56,288500,14.56
2015-10-19,14.52,15.58,14.27,15.39,344600,15.39
2015-10-20,15.42,15.44,14.07,14.46,247600,14.46
2015-10-21,14.6,14.74,13.34,14.15,278800,14.15
2015-10-22,14.3,14.6,13.58,14.17,208300,14.17
2015-10-23,14.44,14.9,14.01,14.47,141600,14.47
2015-10-26,14.34,15.02,14.1,14.57,259900,14.57
2015-10-27,14.58,15.21,14.27,15.0,218300,15.0
2015-10-28,14.99,15.66,14.63,15.58,228100,15.58
2015-10-29,15.39,15.98,15.01,15.13,220900,15.13
2015-10-30,15.14,15.14,13.895,14.17,178600,14.17
2015-11-02,14.2,15.56,13.984000000000002,15.56,387200,15.56
2015-11-03,15.47,15.9,15.04,15.32,217200,15.32
2015-11-04,15.56,16.368,15.1,16.27,289900,16.27
2015-11-05,16.450001,16.450001,15.35,15.49,242200,15.49
2015-11-06,15.49,15.847999999999999,14.3,15.41,248100,15.41
2015-11-09,15.41,16.059998999999998,15.23,15.78,174000,15.78
2015-11-10,16.25,18.120001000000002,15.25,17.25,566100,17.25
2015-11-11,17.25,17.26,15.83,15.88,259800,15.88
2015-11-12,15.73,16.0,14.91,15.03,173600,15.03
2015-11-13,14.93,16.450001,14.75,16.120001000000002,196500,16.120001000000002
2015-11-16,16.0,16.25,14.811,15.32,223100,15.32
2015-11-17,15.41,15.96,14.87,15.08,196300,15.08
2015-11-18,15.19,15.74,14.757,15.71,161900,15.71
2015-11-19,15.65,15.86,14.71,15.11,131800,15.11
2015-11-20,15.21,15.9,14.89,15.72,157300,15.72
2015-11-23,15.65,16.23,15.24,15.84,275600,15.84
2015-11-24,15.73,16.700001,15.69,16.469998999999998,218600,16.469998999999998
2015-11-25,16.4,17.139999,16.4,16.77,311400,16.77
2015-11-27,16.76,17.225,16.549999,17.059998999999998,82000,17.059998999999998
2015-11-30,17.34,17.34,16.0,16.549999,359300,16.549999
2015-12-01,16.540001,16.57,15.45,15.79,240800,15.79
2015-12-02,15.8,16.15,15.37,15.49,256100,15.49
2015-12-03,15.46,15.46,14.43,14.59,654000,14.59
2015-12-04,14.57,14.77,14.089,14.31,463600,14.31
2015-12-07,14.15,14.49,13.35,13.78,302600,13.78
2015-12-08,13.59,15.61,13.5,15.18,867800,15.18
2015-12-09,17.65,17.65,15.84,16.0,1844600,16.0
2015-12-10,15.84,16.33,15.45,16.219998999999998,390800,16.219998999999998
2015-12-11,15.91,16.209999,15.135,15.17,296500,15.17
2015-12-14,15.29,15.88,14.39,14.67,298100,14.67
2015-12-15,14.78,15.48,14.6,15.33,315400,15.33
2015-12-16,15.56,15.89,15.344000000000001,15.79,136600,15.79
2015-12-17,15.94,16.15,15.05,15.32,212000,15.32
2015-12-18,15.31,15.82,15.12,15.34,300700,15.34
2015-12-21,15.47,15.76,15.0,15.66,154500,15.66
2015-12-22,15.68,15.88,15.17,15.3,120700,15.3
2015-12-23,15.45,15.87,15.25,15.6,189500,15.6
2015-12-24,15.59,15.85,15.28,15.42,122300,15.42
2015-12-28,15.4,15.88,15.07,15.37,286100,15.37
2015-12-29,15.52,16.17,15.04,16.120001000000002,270500,16.120001000000002
2015-12-30,16.049999,16.43,15.43,15.79,124200,15.79
2015-12-31,16.32,17.139999,16.25,16.860001,604900,16.860001
